# kokoro-graph 自前感情辞書 v1.1.0 (2026-08-17) からの固定コピー(2026-08-20 取得)
# 出典: c:/_ClaudeCode/kokoro-graph/dict/kokoro_dict.json — 参照先の変更に追随しない
word,polarity,category
あきらめる,-0.7,sadness
あさましい,-0.7,dislike
あざむく,-0.7,dislike
あなどる,-0.7,dislike
あはれ,-0.4,sadness
ありがたい,0.7,calm
あわれ,-0.4,sadness
いたましい,-0.7,sadness
いつわり,-0.7,dislike
いとしい,0.7,like
いとほし,0.7,like
いまいましい,-0.4,anger
いや,-0.4,dislike
いやしい,-0.4,dislike
いらいら,-0.4,anger
いらだつ,-0.4,anger
うし,-0.4,sadness
うつくしい,0.4,calm
うなだれる,-0.4,sadness
うめく,-0.7,fear
うるさい,-0.4,dislike
うれし,0.7,joy
うれしい,0.4,joy
うんざり,-0.4,dislike
おそろし,-0.7,fear
おそろしい,-0.7,fear
おののく,-0.7,fear
おびえる,-0.7,fear
かなし,-0.7,sadness
きたない,-0.4,dislike
きれい,0.4,calm
ぎょっと,0.0,surprise
くやし,-0.7,anger
けがれ,-0.4,dislike
こころぼそし,-0.4,sadness
こひし,0.7,like
こわい,-0.7,fear
さげすむ,-0.7,dislike
さびし,-0.4,sadness
さびしい,-0.4,sadness
さみし,-0.4,sadness
しょんぼり,-0.4,sadness
すがすがしい,0.4,calm
すごい,-0.4,fear
すさまじ,-0.4,fear
せつなし,-0.7,sadness
ぞっと,-0.7,fear
たのし,0.4,joy
たのしい,0.4,joy
ため息,-0.4,sadness
だます,-0.7,dislike
つらい,-0.4,dislike
どなる,-0.7,anger
なつかし,0.4,like
なつかしい,0.4,like
にがい,-0.4,dislike
にくし,-0.7,anger
のどか,0.4,calm
ののしる,-0.4,anger
はかない,-0.4,sadness
はかなし,-0.4,sadness
はしゃぐ,0.7,joy
はっと,0.0,surprise
はづかし,-0.4,dislike
ばか,-0.4,dislike
ひもじい,-0.4,dislike
びっくり,0.0,surprise
ほほえむ,0.4,joy
みじめ,-0.7,sadness
みにくい,-0.7,dislike
むごい,-0.7,sadness
むせぶ,-0.7,sadness
むなし,-0.4,sadness
むなしい,-0.4,sadness
めでたい,0.7,joy
もだえる,-0.7,fear
やさしい,0.4,like
ゆゆし,-0.4,fear
わずらわしい,-0.4,dislike
わびし,-0.4,sadness
わびしい,-0.4,sadness
をかし,0.4,joy
上機嫌,0.7,joy
不吉,-0.7,fear
不安,-0.4,fear
不幸,-0.7,sadness
亡き,-0.4,sadness
亡くす,-0.7,sadness
亡霊,-0.7,fear
亡骸,-1.0,fear
仕合せ,0.7,joy
仰天,0.0,surprise
仲良し,0.4,like
侘し,-0.4,sadness
侘しい,-0.4,sadness
侮る,-0.7,dislike
健やか,0.4,calm
偽り,-0.7,dislike
傷心,-1.0,sadness
儚い,-0.4,sadness
優しい,0.4,like
元気,0.4,calm
