outlet,guid,title,link,first_seen,cluster_id
NHK,https://news.web.nhk/newsweb/na/nd-20260912de49911,車いすテニス小田凱人 年間グランドスラムならず 全米オープン,https://news.web.nhk/newsweb/na/nd-20260912de49911,2026-09-12T17:16:00Z,1
朝日新聞,http://www.asahi.com/articles/ASV9D3PZPV9DUTQP01PM.html?ref=rss,小田凱人は年間グランドスラムならず　車いすテニス、全米決勝で敗れ,http://www.asahi.com/articles/ASV9D3PZPV9DUTQP01PM.html?ref=rss,2026-09-12T17:16:00Z,1
毎日新聞,https://mainichi.jp/articles/20260913/k00/00m/050/002000c,小田凱人は年間グランドスラムならず　テニス全米オープン車いす,https://mainichi.jp/articles/20260913/k00/00m/050/002000c,2026-09-12T17:16:00Z,1
NHK,https://news.web.nhk/newsweb/na/nd-20260912de49922,埼玉 寄居町の治療院兼住宅で火事 男女2人死亡,https://news.web.nhk/newsweb/na/nd-20260912de49922,2026-09-12T17:16:00Z,2
朝日新聞,http://www.asahi.com/articles/ASV9D43L2V9DULZU00DM.html?ref=rss,鍼灸・指圧治療院兼住宅が火災、男女2人死亡　埼玉・寄居町,http://www.asahi.com/articles/ASV9D43L2V9DULZU00DM.html?ref=rss,2026-09-12T17:16:00Z,2
毎日新聞,https://mainichi.jp/articles/20260913/k00/00m/040/001000c,埼玉・寄居の治療院で火災、男女2人死亡　住人夫婦と連絡取れず,https://mainichi.jp/articles/20260913/k00/00m/040/001000c,2026-09-12T17:16:00Z,2
NHK,https://news.web.nhk/newsweb/na/nd-20260912de49899,ホルムズ海峡の代替ルートで情勢不安定化 市場への影響懸念,https://news.web.nhk/newsweb/na/nd-20260912de49899,2026-09-12T13:38:00Z,3
朝日新聞,http://www.asahi.com/articles/ASV9D3V7XV9DUHBI00XM.html?ref=rss,ホルムズ海峡の代替ルートを押さえたフーシ　世界の石油供給に打撃,http://www.asahi.com/articles/ASV9D3V7XV9DUHBI00XM.html?ref=rss,2026-09-12T13:38:00Z,3
NHK,https://news.web.nhk/newsweb/na/nd-20260912de49900,京都 全日本実業団選手権の会場で集団食中毒か 20人以上搬送,https://news.web.nhk/newsweb/na/nd-20260912de49900,2026-09-12T13:38:00Z,4
朝日新聞,http://www.asahi.com/articles/ASV9D32JMV9DPLZB004M.html?ref=rss,全日本実業団陸上の会場、大会関係者ら23人救急搬送　下痢や嘔吐で,http://www.asahi.com/articles/ASV9D32JMV9DPLZB004M.html?ref=rss,2026-09-12T13:38:00Z,4
毎日新聞,https://mainichi.jp/articles/20260912/k00/00m/040/156000c,全日本実業団陸上の会場でスタッフら28人搬送　集団食中毒か,https://mainichi.jp/articles/20260912/k00/00m/040/156000c,2026-09-12T13:38:00Z,4
毎日新聞,https://mainichi.jp/articles/20260911/k00/00m/010/334000c,横浜市長選　前衆院議員の中谷一馬氏、無所属で立候補を表明へ,https://mainichi.jp/articles/20260911/k00/00m/010/334000c,2026-09-11T14:33:00Z,5
朝日新聞,http://www.asahi.com/articles/ASV9D3T7XV9DULOB007M.html?ref=rss,横浜市長選に中谷一馬・前衆院議員が立候補表明　「政治経験役立つ」,http://www.asahi.com/articles/ASV9D3T7XV9DULOB007M.html?ref=rss,2026-09-12T13:38:00Z,5
毎日新聞,https://mainichi.jp/articles/20260912/k00/00m/010/136000c,横浜市長選　前衆院議員の中谷一馬氏が出馬表明　立憲が支援検討,https://mainichi.jp/articles/20260912/k00/00m/010/136000c,2026-09-12T13:38:00Z,5
NHK,https://news.web.nhk/newsweb/na/nd-20260912de49840,イオンモール熊本 すべてのテナントに一時的な契約解除を打診,https://news.web.nhk/newsweb/na/nd-20260912de49840,2026-09-11T21:47:00Z,6
毎日新聞,https://mainichi.jp/articles/20260912/k00/00m/020/091000c,地震で休業のイオンモール熊本、全テナントに一時契約解除を打診,https://mainichi.jp/articles/20260912/k00/00m/020/091000c,2026-09-12T09:27:00Z,6
毎日新聞,https://mainichi.jp/articles/20260911/k00/00m/040/362000c,片岡亀蔵さん死亡の火災　たばこの不始末疑い、知人を書類送検,https://mainichi.jp/articles/20260911/k00/00m/040/362000c,2026-09-11T14:33:00Z,7
朝日新聞,http://www.asahi.com/articles/ASV9D1D2YV9DUTIL001M.html?ref=rss,歌舞伎俳優・片岡亀蔵さん死亡火災、知人を書類送検　たばこ不始末か,http://www.asahi.com/articles/ASV9D1D2YV9DUTIL001M.html?ref=rss,2026-09-12T09:27:00Z,7
朝日新聞,http://www.asahi.com/articles/ASV9C7FJJV9CUHBI003M.html?ref=rss,北朝鮮が日本海に向けて「発射体」　日米韓共同訓練への対抗の可能性,http://www.asahi.com/articles/ASV9C7FJJV9CUHBI003M.html?ref=rss,2026-09-12T00:22:00Z,8
毎日新聞,https://mainichi.jp/articles/20260912/k00/00m/030/001000c,北朝鮮が日本海に向けて弾道ミサイル数発を発射　韓国軍,https://mainichi.jp/articles/20260912/k00/00m/030/001000c,2026-09-12T00:22:00Z,8
NHK,https://news.web.nhk/newsweb/na/nd-20260912de49846,韓国軍「北朝鮮が短距離弾道ミサイル発射」日米韓訓練に反発か,https://news.web.nhk/newsweb/na/nd-20260912de49846,2026-09-12T04:45:00Z,8
NHK,https://news.web.nhk/newsweb/na/nd-20260912de49856,【中継映像】北海道 十勝岳 噴火警戒レベル3に 入山規制,https://news.web.nhk/newsweb/na/nd-20260912de49856,2026-09-12T04:45:00Z,9
NHK,https://news.web.nhk/newsweb/na/nd-20260912de49869,十勝岳 噴火警戒レベル引き上げ 気象庁会見【ノーカット動画】,https://news.web.nhk/newsweb/na/nd-20260912de49869,2026-09-12T04:45:00Z,9
朝日新聞,http://www.asahi.com/articles/ASV9D0F0TV9DULZU001M.html?ref=rss,十勝岳の噴火警戒レベル3に上がる　気象庁、周辺の入山規制求める,http://www.asahi.com/articles/ASV9D0F0TV9DULZU001M.html?ref=rss,2026-09-12T04:45:00Z,9
